benchmark for testdata/ada_1M_000perc.txt
rdtsc_overhead set to 28
lookup_ada_pext               	:    33.205 cycle/op (best)   33.448 cycle/op (avg)
lookup_ada_hash3              	:    63.786 cycle/op (best)   63.872 cycle/op (avg)
lookup_ada_hash_sum0          	:    69.963 cycle/op (best)   70.085 cycle/op (avg)
lookup_ada_hash_sumN          	:    68.135 cycle/op (best)   68.174 cycle/op (avg)
lookup_ada_hash_djb2          	:    55.117 cycle/op (best)   55.219 cycle/op (avg)
lookup_ada_hash_sdb           	:    56.608 cycle/op (best)   56.654 cycle/op (avg)
lookup_ada_split              	:    65.617 cycle/op (best)   65.711 cycle/op (avg)
benchmark for testdata/ada-pred_1M_000perc.txt
lookup_ada_pred_hash1         	:    87.090 cycle/op (best)   87.519 cycle/op (avg)
lookup_ada_pred_hash2         	:    88.198 cycle/op (best)   88.554 cycle/op (avg)
lookup_ada_pred_hash3         	:    64.068 cycle/op (best)   64.188 cycle/op (avg)
lookup_ada_pred_hash_sum0     	:    49.994 cycle/op (best)   50.210 cycle/op (avg)
lookup_ada_pred_hash_sumN     	:    52.955 cycle/op (best)   53.150 cycle/op (avg)
lookup_ada_pred_hash_djb2     	:    46.791 cycle/op (best)   46.843 cycle/op (avg)
lookup_ada_pred_hash_sdb      	:    49.550 cycle/op (best)   49.611 cycle/op (avg)
lookup_ada_pred_pext          	:    37.410 cycle/op (best)   37.463 cycle/op (avg)
lookup_ada_pred_split         	:    63.653 cycle/op (best)   63.734 cycle/op (avg)
benchmark for testdata/ada-pred_1M_010perc.txt
lookup_ada_pred_hash1         	:    88.231 cycle/op (best)   88.535 cycle/op (avg)
lookup_ada_pred_hash2         	:    89.723 cycle/op (best)   89.976 cycle/op (avg)
lookup_ada_pred_hash3         	:    65.697 cycle/op (best)   66.027 cycle/op (avg)
lookup_ada_pred_hash_sum0     	:    55.647 cycle/op (best)   55.762 cycle/op (avg)
lookup_ada_pred_hash_sumN     	:    57.694 cycle/op (best)   57.809 cycle/op (avg)
lookup_ada_pred_hash_djb2     	:    51.193 cycle/op (best)   51.245 cycle/op (avg)
lookup_ada_pred_hash_sdb      	:    53.987 cycle/op (best)   54.034 cycle/op (avg)
lookup_ada_pred_pext          	:    41.358 cycle/op (best)   41.427 cycle/op (avg)
lookup_ada_pred_split         	:    66.771 cycle/op (best)   66.824 cycle/op (avg)
benchmark for testdata/ada-pred_1M_025perc.txt
lookup_ada_pred_hash1         	:    88.231 cycle/op (best)   88.593 cycle/op (avg)
lookup_ada_pred_hash2         	:    89.777 cycle/op (best)   89.962 cycle/op (avg)
lookup_ada_pred_hash3         	:    64.798 cycle/op (best)   64.915 cycle/op (avg)
lookup_ada_pred_hash_sum0     	:    62.742 cycle/op (best)   62.877 cycle/op (avg)
lookup_ada_pred_hash_sumN     	:    64.191 cycle/op (best)   64.260 cycle/op (avg)
lookup_ada_pred_hash_djb2     	:    58.646 cycle/op (best)   58.726 cycle/op (avg)
lookup_ada_pred_hash_sdb      	:    61.298 cycle/op (best)   61.618 cycle/op (avg)
lookup_ada_pred_pext          	:    45.552 cycle/op (best)   45.629 cycle/op (avg)
lookup_ada_pred_split         	:    68.544 cycle/op (best)   68.723 cycle/op (avg)
benchmark for testdata/ada-pred_1M_050perc.txt
lookup_ada_pred_hash1         	:    84.020 cycle/op (best)   84.432 cycle/op (avg)
lookup_ada_pred_hash2         	:    79.607 cycle/op (best)   79.954 cycle/op (avg)
lookup_ada_pred_hash3         	:    60.813 cycle/op (best)   61.015 cycle/op (avg)
lookup_ada_pred_hash_sum0     	:    70.367 cycle/op (best)   70.530 cycle/op (avg)
lookup_ada_pred_hash_sumN     	:    75.896 cycle/op (best)   75.993 cycle/op (avg)
lookup_ada_pred_hash_djb2     	:    66.921 cycle/op (best)   67.035 cycle/op (avg)
lookup_ada_pred_hash_sdb      	:    72.626 cycle/op (best)   72.934 cycle/op (avg)
lookup_ada_pred_pext          	:    46.599 cycle/op (best)   46.681 cycle/op (avg)
lookup_ada_pred_split         	:    66.708 cycle/op (best)   66.819 cycle/op (avg)
benchmark for testdata/ada-pred_1M_075perc.txt
lookup_ada_pred_hash1         	:    70.157 cycle/op (best)   70.457 cycle/op (avg)
lookup_ada_pred_hash2         	:    70.493 cycle/op (best)   70.637 cycle/op (avg)
lookup_ada_pred_hash3         	:    49.780 cycle/op (best)   49.821 cycle/op (avg)
lookup_ada_pred_hash_sum0     	:    71.983 cycle/op (best)   72.111 cycle/op (avg)
lookup_ada_pred_hash_sumN     	:    74.717 cycle/op (best)   74.874 cycle/op (avg)
lookup_ada_pred_hash_djb2     	:    64.214 cycle/op (best)   64.275 cycle/op (avg)
lookup_ada_pred_hash_sdb      	:    66.590 cycle/op (best)   66.808 cycle/op (avg)
lookup_ada_pred_pext          	:    41.091 cycle/op (best)   41.151 cycle/op (avg)
lookup_ada_pred_split         	:    62.585 cycle/op (best)   62.667 cycle/op (avg)
benchmark for testdata/ada-res_1M_000perc.txt
lookup_ada_res_split          	:    65.649 cycle/op (best)   65.993 cycle/op (avg)
lookup_ada_res_hash1          	:    74.250 cycle/op (best)   74.358 cycle/op (avg)
lookup_ada_res_hash2          	:    73.237 cycle/op (best)   73.327 cycle/op (avg)
lookup_ada_res_hash3          	:    54.556 cycle/op (best)   54.646 cycle/op (avg)
lookup_ada_res_hash_sum0      	:    47.621 cycle/op (best)   47.695 cycle/op (avg)
lookup_ada_res_hash_sumN      	:    50.335 cycle/op (best)   50.404 cycle/op (avg)
lookup_ada_res_hash_djb2      	:    41.530 cycle/op (best)   41.820 cycle/op (avg)
lookup_ada_res_hash_sdb       	:    40.053 cycle/op (best)   40.129 cycle/op (avg)
lookup_ada_res_pext           	:    33.277 cycle/op (best)   33.347 cycle/op (avg)
benchmark for testdata/ada-res_1M_010perc.txt
lookup_ada_res_split          	:    68.872 cycle/op (best)   69.160 cycle/op (avg)
lookup_ada_res_hash1          	:    75.666 cycle/op (best)   75.741 cycle/op (avg)
lookup_ada_res_hash2          	:    76.476 cycle/op (best)   76.565 cycle/op (avg)
lookup_ada_res_hash3          	:    59.906 cycle/op (best)   59.986 cycle/op (avg)
lookup_ada_res_hash_sum0      	:    52.926 cycle/op (best)   53.015 cycle/op (avg)
lookup_ada_res_hash_sumN      	:    56.164 cycle/op (best)   56.181 cycle/op (avg)
lookup_ada_res_hash_djb2      	:    45.597 cycle/op (best)   45.703 cycle/op (avg)
lookup_ada_res_hash_sdb       	:    44.171 cycle/op (best)   44.220 cycle/op (avg)
lookup_ada_res_pext           	:    36.815 cycle/op (best)   36.865 cycle/op (avg)
benchmark for testdata/ada-res_1M_025perc.txt
lookup_ada_res_split          	:    71.411 cycle/op (best)   71.784 cycle/op (avg)
lookup_ada_res_hash1          	:    76.046 cycle/op (best)   76.192 cycle/op (avg)
lookup_ada_res_hash2          	:    78.544 cycle/op (best)   78.622 cycle/op (avg)
lookup_ada_res_hash3          	:    66.095 cycle/op (best)   66.195 cycle/op (avg)
lookup_ada_res_hash_sum0      	:    58.824 cycle/op (best)   58.933 cycle/op (avg)
lookup_ada_res_hash_sumN      	:    63.123 cycle/op (best)   63.198 cycle/op (avg)
lookup_ada_res_hash_djb2      	:    52.128 cycle/op (best)   52.387 cycle/op (avg)
lookup_ada_res_hash_sdb       	:    51.054 cycle/op (best)   51.117 cycle/op (avg)
lookup_ada_res_pext           	:    41.206 cycle/op (best)   41.268 cycle/op (avg)
benchmark for testdata/ada-res_1M_050perc.txt
lookup_ada_res_split          	:    67.719 cycle/op (best)   67.963 cycle/op (avg)
lookup_ada_res_hash1          	:    73.335 cycle/op (best)   73.431 cycle/op (avg)
lookup_ada_res_hash2          	:    72.331 cycle/op (best)   72.439 cycle/op (avg)
lookup_ada_res_hash3          	:    69.053 cycle/op (best)   69.143 cycle/op (avg)
lookup_ada_res_hash_sum0      	:    72.935 cycle/op (best)   73.193 cycle/op (avg)
lookup_ada_res_hash_sumN      	:    70.002 cycle/op (best)   70.103 cycle/op (avg)
lookup_ada_res_hash_djb2      	:    60.557 cycle/op (best)   60.734 cycle/op (avg)
lookup_ada_res_hash_sdb       	:    61.459 cycle/op (best)   61.525 cycle/op (avg)
lookup_ada_res_pext           	:    45.132 cycle/op (best)   45.221 cycle/op (avg)
benchmark for testdata/ada-res_1M_075perc.txt
lookup_ada_res_split          	:    69.907 cycle/op (best)   70.160 cycle/op (avg)
lookup_ada_res_hash1          	:    62.880 cycle/op (best)   63.098 cycle/op (avg)
lookup_ada_res_hash2          	:    65.064 cycle/op (best)   65.188 cycle/op (avg)
lookup_ada_res_hash3          	:    62.015 cycle/op (best)   62.077 cycle/op (avg)
lookup_ada_res_hash_sum0      	:    68.582 cycle/op (best)   68.706 cycle/op (avg)
lookup_ada_res_hash_sumN      	:    65.143 cycle/op (best)   65.222 cycle/op (avg)
lookup_ada_res_hash_djb2      	:    56.344 cycle/op (best)   56.608 cycle/op (avg)
lookup_ada_res_hash_sdb       	:    56.126 cycle/op (best)   56.453 cycle/op (avg)
lookup_ada_res_pext           	:    39.768 cycle/op (best)   39.834 cycle/op (avg)
benchmark for testdata/adadefs_1M_000perc.txt
lookup_adadefs_split          	:    62.592 cycle/op (best)   62.826 cycle/op (avg)
lookup_adadefs_pext           	:    37.846 cycle/op (best)   37.923 cycle/op (avg)
lookup_adadefs_hash1          	:    90.226 cycle/op (best)   90.745 cycle/op (avg)
lookup_adadefs_hash2          	:    85.911 cycle/op (best)   86.042 cycle/op (avg)
lookup_adadefs_hash3          	:    66.514 cycle/op (best)   66.705 cycle/op (avg)
lookup_adadefs_hash_sum0      	:    48.920 cycle/op (best)   49.002 cycle/op (avg)
lookup_adadefs_hash_sumN      	:    53.622 cycle/op (best)   54.254 cycle/op (avg)
lookup_adadefs_hash_djb2      	:    45.903 cycle/op (best)   45.955 cycle/op (avg)
lookup_adadefs_hash_sdb       	:    50.431 cycle/op (best)   51.214 cycle/op (avg)
benchmark for testdata/adadefs_1M_010perc.txt
lookup_adadefs_split          	:    65.743 cycle/op (best)   65.931 cycle/op (avg)
lookup_adadefs_pext           	:    41.658 cycle/op (best)   41.802 cycle/op (avg)
lookup_adadefs_hash1          	:    92.210 cycle/op (best)   92.532 cycle/op (avg)
lookup_adadefs_hash2          	:    87.254 cycle/op (best)   87.466 cycle/op (avg)
lookup_adadefs_hash3          	:    68.384 cycle/op (best)   68.541 cycle/op (avg)
lookup_adadefs_hash_sum0      	:    53.632 cycle/op (best)   53.718 cycle/op (avg)
lookup_adadefs_hash_sumN      	:    59.339 cycle/op (best)   59.428 cycle/op (avg)
lookup_adadefs_hash_djb2      	:    50.488 cycle/op (best)   50.558 cycle/op (avg)
lookup_adadefs_hash_sdb       	:    55.683 cycle/op (best)   55.884 cycle/op (avg)
benchmark for testdata/adadefs_1M_025perc.txt
lookup_adadefs_split          	:    67.588 cycle/op (best)   67.937 cycle/op (avg)
lookup_adadefs_pext           	:    45.682 cycle/op (best)   45.782 cycle/op (avg)
lookup_adadefs_hash1          	:    91.551 cycle/op (best)   91.825 cycle/op (avg)
lookup_adadefs_hash2          	:    86.504 cycle/op (best)   86.793 cycle/op (avg)
lookup_adadefs_hash3          	:    67.656 cycle/op (best)   67.799 cycle/op (avg)
lookup_adadefs_hash_sum0      	:    60.243 cycle/op (best)   60.316 cycle/op (avg)
lookup_adadefs_hash_sumN      	:    66.312 cycle/op (best)   66.372 cycle/op (avg)
lookup_adadefs_hash_djb2      	:    58.032 cycle/op (best)   58.205 cycle/op (avg)
lookup_adadefs_hash_sdb       	:    62.910 cycle/op (best)   63.049 cycle/op (avg)
benchmark for testdata/adadefs_1M_050perc.txt
lookup_adadefs_split          	:    67.497 cycle/op (best)   67.669 cycle/op (avg)
lookup_adadefs_pext           	:    46.702 cycle/op (best)   46.768 cycle/op (avg)
lookup_adadefs_hash1          	:    82.558 cycle/op (best)   82.728 cycle/op (avg)
lookup_adadefs_hash2          	:    82.338 cycle/op (best)   82.456 cycle/op (avg)
lookup_adadefs_hash3          	:    58.063 cycle/op (best)   58.163 cycle/op (avg)
lookup_adadefs_hash_sum0      	:    74.568 cycle/op (best)   74.662 cycle/op (avg)
lookup_adadefs_hash_sumN      	:    73.976 cycle/op (best)   74.197 cycle/op (avg)
lookup_adadefs_hash_djb2      	:    69.257 cycle/op (best)   69.388 cycle/op (avg)
lookup_adadefs_hash_sdb       	:    72.202 cycle/op (best)   72.272 cycle/op (avg)
benchmark for testdata/adadefs_1M_075perc.txt
lookup_adadefs_split          	:    63.262 cycle/op (best)   63.531 cycle/op (avg)
lookup_adadefs_pext           	:    41.304 cycle/op (best)   41.422 cycle/op (avg)
lookup_adadefs_hash1          	:    72.144 cycle/op (best)   72.325 cycle/op (avg)
lookup_adadefs_hash2          	:    67.333 cycle/op (best)   67.721 cycle/op (avg)
lookup_adadefs_hash3          	:    52.813 cycle/op (best)   52.865 cycle/op (avg)
lookup_adadefs_hash_sum0      	:    68.253 cycle/op (best)   68.390 cycle/op (avg)
lookup_adadefs_hash_sumN      	:    78.043 cycle/op (best)   78.238 cycle/op (avg)
lookup_adadefs_hash_djb2      	:    62.678 cycle/op (best)   62.942 cycle/op (avg)
lookup_adadefs_hash_sdb       	:    64.806 cycle/op (best)   64.878 cycle/op (avg)
benchmark for testdata/c_1M_000perc.txt
lookup_c_pext                 	:    31.987 cycle/op (best)   32.377 cycle/op (avg)
lookup_c_split                	:    50.578 cycle/op (best)   50.650 cycle/op (avg)
lookup_c_hash1                	:    61.255 cycle/op (best)   61.488 cycle/op (avg)
lookup_c_hash2                	:    61.588 cycle/op (best)   61.895 cycle/op (avg)
lookup_c_hash3                	:    51.560 cycle/op (best)   51.633 cycle/op (avg)
lookup_c_hash_sum0            	:    50.067 cycle/op (best)   50.118 cycle/op (avg)
lookup_c_hash_sumN            	:    45.615 cycle/op (best)   45.834 cycle/op (avg)
lookup_c_hash_djb2            	:    40.455 cycle/op (best)   40.555 cycle/op (avg)
lookup_c_hash_sdb             	:    42.021 cycle/op (best)   42.076 cycle/op (avg)
benchmark for testdata/c_1M_010perc.txt
lookup_c_pext                 	:    35.998 cycle/op (best)   36.260 cycle/op (avg)
lookup_c_split                	:    52.705 cycle/op (best)   52.798 cycle/op (avg)
lookup_c_hash1                	:    62.499 cycle/op (best)   62.631 cycle/op (avg)
lookup_c_hash2                	:    63.105 cycle/op (best)   63.173 cycle/op (avg)
lookup_c_hash3                	:    56.393 cycle/op (best)   56.476 cycle/op (avg)
lookup_c_hash_sum0            	:    56.002 cycle/op (best)   56.119 cycle/op (avg)
lookup_c_hash_sumN            	:    51.423 cycle/op (best)   51.605 cycle/op (avg)
lookup_c_hash_djb2            	:    45.365 cycle/op (best)   45.422 cycle/op (avg)
lookup_c_hash_sdb             	:    46.631 cycle/op (best)   46.695 cycle/op (avg)
benchmark for testdata/c_1M_025perc.txt
lookup_c_pext                 	:    40.496 cycle/op (best)   40.768 cycle/op (avg)
lookup_c_split                	:    55.281 cycle/op (best)   55.357 cycle/op (avg)
lookup_c_hash1                	:    62.692 cycle/op (best)   62.798 cycle/op (avg)
lookup_c_hash2                	:    62.573 cycle/op (best)   62.737 cycle/op (avg)
lookup_c_hash3                	:    58.936 cycle/op (best)   59.082 cycle/op (avg)
lookup_c_hash_sum0            	:    62.076 cycle/op (best)   62.189 cycle/op (avg)
lookup_c_hash_sumN            	:    58.303 cycle/op (best)   58.608 cycle/op (avg)
lookup_c_hash_djb2            	:    51.623 cycle/op (best)   51.685 cycle/op (avg)
lookup_c_hash_sdb             	:    52.805 cycle/op (best)   52.989 cycle/op (avg)
benchmark for testdata/c_1M_050perc.txt
lookup_c_pext                 	:    44.026 cycle/op (best)   44.285 cycle/op (avg)
lookup_c_split                	:    58.776 cycle/op (best)   58.837 cycle/op (avg)
lookup_c_hash1                	:    58.982 cycle/op (best)   59.142 cycle/op (avg)
lookup_c_hash2                	:    53.499 cycle/op (best)   53.563 cycle/op (avg)
lookup_c_hash3                	:    56.145 cycle/op (best)   56.557 cycle/op (avg)
lookup_c_hash_sum0            	:    69.283 cycle/op (best)   69.512 cycle/op (avg)
lookup_c_hash_sumN            	:    66.230 cycle/op (best)   66.372 cycle/op (avg)
lookup_c_hash_djb2            	:    58.874 cycle/op (best)   59.005 cycle/op (avg)
lookup_c_hash_sdb             	:    61.858 cycle/op (best)   61.955 cycle/op (avg)
benchmark for testdata/c_1M_075perc.txt
lookup_c_pext                 	:    38.056 cycle/op (best)   38.352 cycle/op (avg)
lookup_c_split                	:    53.151 cycle/op (best)   53.210 cycle/op (avg)
lookup_c_hash1                	:    49.403 cycle/op (best)   49.640 cycle/op (avg)
lookup_c_hash2                	:    48.156 cycle/op (best)   48.293 cycle/op (avg)
lookup_c_hash3                	:    45.648 cycle/op (best)   45.687 cycle/op (avg)
lookup_c_hash_sum0            	:    67.869 cycle/op (best)   67.986 cycle/op (avg)
lookup_c_hash_sumN            	:    61.979 cycle/op (best)   62.102 cycle/op (avg)
lookup_c_hash_djb2            	:    55.338 cycle/op (best)   55.425 cycle/op (avg)
lookup_c_hash_sdb             	:    52.404 cycle/op (best)   52.553 cycle/op (avg)
benchmark for testdata/countries_1M_000perc.txt
lookup_countries_split        	:    97.772 cycle/op (best)   98.088 cycle/op (avg)
lookup_countries_pext         	:    36.513 cycle/op (best)   36.615 cycle/op (avg)
lookup_countries_hash1        	:   132.877 cycle/op (best)  133.173 cycle/op (avg)
lookup_countries_hash2        	:   129.504 cycle/op (best)  129.708 cycle/op (avg)
lookup_countries_hash3        	:    92.527 cycle/op (best)   92.643 cycle/op (avg)
lookup_countries_hash_sum0    	:    62.073 cycle/op (best)   62.189 cycle/op (avg)
lookup_countries_hash_sumN    	:    63.406 cycle/op (best)   63.881 cycle/op (avg)
lookup_countries_hash_djb2    	:    63.469 cycle/op (best)   63.578 cycle/op (avg)
lookup_countries_hash_sdb     	:    50.961 cycle/op (best)   51.081 cycle/op (avg)
benchmark for testdata/countries_1M_010perc.txt
lookup_countries_split        	:   101.039 cycle/op (best)  101.397 cycle/op (avg)
lookup_countries_pext         	:    40.428 cycle/op (best)   40.491 cycle/op (avg)
lookup_countries_hash1        	:   132.788 cycle/op (best)  133.023 cycle/op (avg)
lookup_countries_hash2        	:   128.801 cycle/op (best)  128.949 cycle/op (avg)
lookup_countries_hash3        	:    94.877 cycle/op (best)   94.951 cycle/op (avg)
lookup_countries_hash_sum0    	:    68.733 cycle/op (best)   68.983 cycle/op (avg)
lookup_countries_hash_sumN    	:    71.030 cycle/op (best)   71.141 cycle/op (avg)
lookup_countries_hash_djb2    	:    68.149 cycle/op (best)   68.233 cycle/op (avg)
lookup_countries_hash_sdb     	:    56.661 cycle/op (best)   56.923 cycle/op (avg)
benchmark for testdata/countries_1M_025perc.txt
lookup_countries_split        	:   103.247 cycle/op (best)  103.585 cycle/op (avg)
lookup_countries_pext         	:    45.132 cycle/op (best)   45.203 cycle/op (avg)
lookup_countries_hash1        	:   129.030 cycle/op (best)  129.201 cycle/op (avg)
lookup_countries_hash2        	:   126.895 cycle/op (best)  127.110 cycle/op (avg)
lookup_countries_hash3        	:    97.415 cycle/op (best)   97.553 cycle/op (avg)
lookup_countries_hash_sum0    	:    78.251 cycle/op (best)   78.357 cycle/op (avg)
lookup_countries_hash_sumN    	:    80.482 cycle/op (best)   80.528 cycle/op (avg)
lookup_countries_hash_djb2    	:    74.615 cycle/op (best)   74.732 cycle/op (avg)
lookup_countries_hash_sdb     	:    64.702 cycle/op (best)   64.870 cycle/op (avg)
benchmark for testdata/countries_1M_050perc.txt
lookup_countries_split        	:   102.718 cycle/op (best)  103.066 cycle/op (avg)
lookup_countries_pext         	:    47.619 cycle/op (best)   47.713 cycle/op (avg)
lookup_countries_hash1        	:   116.181 cycle/op (best)  116.368 cycle/op (avg)
lookup_countries_hash2        	:   118.285 cycle/op (best)  118.521 cycle/op (avg)
lookup_countries_hash3        	:    88.540 cycle/op (best)   88.780 cycle/op (avg)
lookup_countries_hash_sum0    	:    86.102 cycle/op (best)   86.225 cycle/op (avg)
lookup_countries_hash_sumN    	:    84.761 cycle/op (best)   84.845 cycle/op (avg)
lookup_countries_hash_djb2    	:    87.227 cycle/op (best)   87.295 cycle/op (avg)
lookup_countries_hash_sdb     	:    76.176 cycle/op (best)   76.314 cycle/op (avg)
benchmark for testdata/countries_1M_075perc.txt
lookup_countries_split        	:    94.958 cycle/op (best)   95.317 cycle/op (avg)
lookup_countries_pext         	:    41.725 cycle/op (best)   41.777 cycle/op (avg)
lookup_countries_hash1        	:   100.017 cycle/op (best)  100.286 cycle/op (avg)
lookup_countries_hash2        	:    99.823 cycle/op (best)  100.082 cycle/op (avg)
lookup_countries_hash3        	:    79.786 cycle/op (best)   79.951 cycle/op (avg)
lookup_countries_hash_sum0    	:    88.915 cycle/op (best)   89.045 cycle/op (avg)
lookup_countries_hash_sumN    	:    89.560 cycle/op (best)   90.061 cycle/op (avg)
lookup_countries_hash_djb2    	:    86.016 cycle/op (best)   86.265 cycle/op (avg)
lookup_countries_hash_sdb     	:    76.972 cycle/op (best)   77.092 cycle/op (avg)
benchmark for testdata/cplusplus_1M_000perc.txt
lookup_cplusplus_pext         	:    33.824 cycle/op (best)   34.023 cycle/op (avg)
lookup_cplusplus_split        	:    67.066 cycle/op (best)   67.284 cycle/op (avg)
lookup_cplusplus_hash1        	:   109.824 cycle/op (best)  110.323 cycle/op (avg)
lookup_cplusplus_hash2        	:    96.467 cycle/op (best)   96.743 cycle/op (avg)
lookup_cplusplus_hash3        	:    86.246 cycle/op (best)   86.420 cycle/op (avg)
lookup_cplusplus_hash_sum0    	:    51.950 cycle/op (best)   52.033 cycle/op (avg)
lookup_cplusplus_hash_sumN    	:    57.288 cycle/op (best)   57.431 cycle/op (avg)
lookup_cplusplus_hash_djb2    	:    45.768 cycle/op (best)   45.886 cycle/op (avg)
lookup_cplusplus_hash_sdb     	:    44.251 cycle/op (best)   44.338 cycle/op (avg)
benchmark for testdata/cplusplus_1M_010perc.txt
lookup_cplusplus_pext         	:    38.398 cycle/op (best)   38.594 cycle/op (avg)
lookup_cplusplus_split        	:    73.977 cycle/op (best)   74.078 cycle/op (avg)
lookup_cplusplus_hash1        	:   107.535 cycle/op (best)  107.823 cycle/op (avg)
lookup_cplusplus_hash2        	:   101.275 cycle/op (best)  101.460 cycle/op (avg)
lookup_cplusplus_hash3        	:    91.321 cycle/op (best)   91.512 cycle/op (avg)
lookup_cplusplus_hash_sum0    	:    60.452 cycle/op (best)   60.546 cycle/op (avg)
lookup_cplusplus_hash_sumN    	:    63.989 cycle/op (best)   64.060 cycle/op (avg)
lookup_cplusplus_hash_djb2    	:    50.813 cycle/op (best)   50.872 cycle/op (avg)
lookup_cplusplus_hash_sdb     	:    48.241 cycle/op (best)   48.322 cycle/op (avg)
benchmark for testdata/cplusplus_1M_025perc.txt
lookup_cplusplus_pext         	:    42.584 cycle/op (best)   42.801 cycle/op (avg)
lookup_cplusplus_split        	:    72.824 cycle/op (best)   72.889 cycle/op (avg)
lookup_cplusplus_hash1        	:   109.245 cycle/op (best)  109.388 cycle/op (avg)
lookup_cplusplus_hash2        	:    97.924 cycle/op (best)   98.278 cycle/op (avg)
lookup_cplusplus_hash3        	:    91.604 cycle/op (best)   91.774 cycle/op (avg)
lookup_cplusplus_hash_sum0    	:    66.863 cycle/op (best)   67.021 cycle/op (avg)
lookup_cplusplus_hash_sumN    	:    70.765 cycle/op (best)   70.833 cycle/op (avg)
lookup_cplusplus_hash_djb2    	:    56.938 cycle/op (best)   57.050 cycle/op (avg)
lookup_cplusplus_hash_sdb     	:    56.908 cycle/op (best)   57.012 cycle/op (avg)
benchmark for testdata/cplusplus_1M_050perc.txt
lookup_cplusplus_pext         	:    46.324 cycle/op (best)   46.629 cycle/op (avg)
lookup_cplusplus_split        	:    72.879 cycle/op (best)   72.969 cycle/op (avg)
lookup_cplusplus_hash1        	:   101.319 cycle/op (best)  101.664 cycle/op (avg)
lookup_cplusplus_hash2        	:    92.323 cycle/op (best)   92.840 cycle/op (avg)
lookup_cplusplus_hash3        	:    87.827 cycle/op (best)   87.947 cycle/op (avg)
lookup_cplusplus_hash_sum0    	:    76.786 cycle/op (best)   77.177 cycle/op (avg)
